ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2022;MG;São João Evangelista;3162807;Cisticercose Bovina;1;26424
2022;MG;São João Evangelista;3162807;Fígado Amarelo;2;26424
2022;MG;São João Nepomuceno;3162906;Fasciolose Hepática (notificação Sif);2;28239
2022;MG;São João Nepomuceno;3162906;Fígado Amarelo;1;28239
2022;MG;São João da Lagoa;3162252;Cisticercose Bovina;2;25512
2022;MG;São João da Mata;3162302;Fasciolose Hepática (notificação Sif);1;8188
2022;MG;São João da Mata;3162302;Lesões Tuberculósicas;1;8188
2022;MG;São João da Ponte;3162401;Actinomicose (notificação Sif);7;280851
2022;MG;São João da Ponte;3162401;Cisticercose Bovina;20;280851
2022;MG;São João da Ponte;3162401;Equinococose/hidatidose (notificaçao Sif);11;280851
2022;MG;São João da Ponte;3162401;Fasciolose Hepática (notificação Sif);5;280851
2022;MG;São João da Ponte;3162401;Lesões Tuberculósicas;2;280851
2022;MG;São João del Rei;3162500;Cisticercose Bovina;1;41362
2022;MG;São João del Rei;3162500;Fasciolose Hepática (notificação Sif);1;41362
2022;MG;São João del Rei;3162500;Miíase Cutânea;1;41362
2022;MG;São João do Manteninha;3162575;Actinomicose (notificação Sif);1;11789
2022;MG;São João do Manteninha;3162575;Cisticercose Bovina;1;11789
2022;MG;São João do Manteninha;3162575;Equinococose/hidatidose (notificaçao Sif);2;11789
2022;MG;São João do Manteninha;3162575;Fasciolose Hepática (notificação Sif);2;11789
2022;MG;São João do Manteninha;3162575;Fígado Amarelo;2;11789
2022;MG;São João do Manteninha;3162575;Miíase Cutânea;7;11789
2022;MG;São João do Manteninha;3162575;Tuberculose (notificação Sif);1;11789
2022;MG;São João do Oriente;3162609;Tuberculose (notificação Sif);1;10516
2022;MG;São João do Pacuí;3162658;Cisticercose Bovina;3;17623
2022;MG;São Joaquim de Bicas;3162922;Cisticercose Bovina;1;1730
2022;MG;São José da Barra;3162948;Euritrematose (ruminantes);3;11503
2022;MG;São José da Lapa;3162955;Cisticercose Bovina;1;1199
2022;MG;São José da Lapa;3162955;Fasciolose Hepática (notificação Sif);1;1199
2022;MG;São José da Lapa;3162955;Fígado Amarelo;1;1199
2022;MG;São José da Safira;3163003;Cisticercose Bovina;1;7026
2022;MG;São José da Safira;3163003;Miíase Cutânea;2;7026
2022;MG;São José da Varginha;3163102;Cisticercose Bovina;12;19379
2022;MG;São José da Varginha;3163102;Fasciolose Hepática (notificação Sif);3;19379
2022;MG;São José da Varginha;3163102;Fígado Amarelo;2;19379
2022;MG;São José da Varginha;3163102;Lesões Tuberculósicas;3;19379
2022;MG;São José da Varginha;3163102;Miíase Cutânea;4;19379
2022;MG;São José do Alegre;3163201;Cisticercose Bovina;1;8225
2022;MG;São José do Alegre;3163201;Fasciolose Hepática (notificação Sif);28;8225
2022;MG;São José do Alegre;3163201;Lesões Tuberculósicas;1;8225
2022;MG;São José do Divino;3163300;Equinococose/hidatidose (notificaçao Sif);1;22384
2022;MG;São José do Divino;3163300;Fígado Amarelo;2;22384
2022;MG;São José do Divino;3163300;Miíase Cutânea;2;22384
2022;MG;São José do Goiabal;3163409;Cisticercose Bovina;4;13195
2022;MG;São José do Goiabal;3163409;Fasciolose Hepática (notificação Sif);1;13195
2022;MG;São José do Goiabal;3163409;Fígado Amarelo;2;13195
2022;MG;São José do Goiabal;3163409;Lesões Tuberculósicas;1;13195
2022;MG;São José do Jacuri;3163508;Fígado Amarelo;2;16334
2022;MG;São José do Jacuri;3163508;Lesões Tuberculósicas;1;16334
2022;MG;São Pedro da União;3163904;Euritrematose (ruminantes);32;13558
2022;MG;São Pedro dos Ferros;3164001;Actinomicose (notificação Sif);2;20892
2022;MG;São Pedro dos Ferros;3164001;Cisticercose Bovina;4;20892
2022;MG;São Pedro dos Ferros;3164001;Fasciolose Hepática (notificação Sif);1;20892
2022;MG;São Pedro dos Ferros;3164001;Fígado Amarelo;1;20892
2022;MG;São Pedro dos Ferros;3164001;Miíase Cutânea;1;20892
2022;MG;São Romão;3164209;Cisticercose Bovina;1;33711
2022;MG;São Roque de Minas;3164308;Cisticercose Bovina;1;63079
2022;MG;São Roque de Minas;3164308;Equinococose/hidatidose (notificaçao Sif);1;63079
2022;MG;São Roque de Minas;3164308;Euritrematose (ruminantes);28;63079
2022;MG;São Roque de Minas;3164308;Fígado Amarelo;1;63079
2022;MG;São Roque de Minas;3164308;Lesões Tuberculósicas;2;63079
2022;MG;São Sebastião da Bela Vista;3164407;Fasciolose Hepática (notificação Sif);1;10450
2022;MG;São Sebastião da Bela Vista;3164407;Lesões Tuberculósicas;1;10450
2022;MG;São Sebastião da Vargem Alegre;3164431;Fasciolose Hepática (notificação Sif);1;6660
2022;MG;São Sebastião do Maranhão;3164506;Fígado Amarelo;8;22600
2022;MG;São Sebastião do Maranhão;3164506;Lesões Tuberculósicas;2;22600
2022;MG;São Sebastião do Maranhão;3164506;Miíase Cutânea;2;22600
2022;MG;São Sebastião do Oeste;3164605;Actinomicose (notificação Sif);1;31417
2022;MG;São Sebastião do Oeste;3164605;Cisticercose Bovina;2;31417
2022;MG;São Sebastião do Oeste;3164605;Equinococose/hidatidose (notificaçao Sif);1;31417
2022;MG;São Sebastião do Oeste;3164605;Fígado Amarelo;2;31417
2022;MG;São Sebastião do Oeste;3164605;Lesões Tuberculósicas;1;31417
