codigo_ibge;uf;municipio;ano;cabecas
2104057;MA;Estreito;2021;132989
2104073;MA;Feira Nova do Maranhão;2021;76537
2104081;MA;Fernando Falcão;2021;22500
2104099;MA;Formosa da Serra Negra;2021;140133
2104107;MA;Fortaleza dos Nogueiras;2021;82048
2104206;MA;Fortuna;2021;37928
2104305;MA;Godofredo Viana;2021;3076
2104404;MA;Gonçalves Dias;2021;42903
2104503;MA;Governador Archer;2021;35459
2104552;MA;Governador Edison Lobão;2021;42206
2104602;MA;Governador Eugênio Barros;2021;30208
2104628;MA;Governador Luiz Rocha;2021;14221
2104651;MA;Governador Newton Bello;2021;53650
2104677;MA;Governador Nunes Freire;2021;25103
2104701;MA;Graça Aranha;2021;10963
2104800;MA;Grajaú;2021;208777
2104909;MA;Guimarães;2021;2142
2105005;MA;Humberto de Campos;2021;1845
2105104;MA;Icatu;2021;777
2105153;MA;Igarapé do Meio;2021;26415
2105203;MA;Igarapé Grande;2021;27198
2105302;MA;Imperatriz;2021;91980
2105351;MA;Itaipava do Grajaú;2021;33124
2105401;MA;Itapecuru Mirim;2021;17258
2105427;MA;Itinga do Maranhão;2021;118540
2105450;MA;Jatobá;2021;24447
2105476;MA;Jenipapo dos Vieiras;2021;74520
2105500;MA;João Lisboa;2021;95362
2105609;MA;Joselândia;2021;16783
2105658;MA;Junco do Maranhão;2021;28130
2105708;MA;Lago da Pedra;2021;99160
2105807;MA;Lago do Junco;2021;14305
2105906;MA;Lago Verde;2021;52027
2105922;MA;Lagoa do Mato;2021;28222
2105948;MA;Lago dos Rodrigues;2021;16604
2105963;MA;Lagoa Grande do Maranhão;2021;42602
2105989;MA;Lajeado Novo;2021;54346
2106003;MA;Lima Campos;2021;9654
2106102;MA;Loreto;2021;34735
2106201;MA;Luís Domingues;2021;4084
2106300;MA;Magalhães de Almeida;2021;8186
2106326;MA;Maracaçumé;2021;29388
2106359;MA;Marajá do Sena;2021;47425
2106375;MA;Maranhãozinho;2021;38135
2106409;MA;Mata Roma;2021;2210
2106508;MA;Matinha;2021;19230
2106607;MA;Matões;2021;16100
2106631;MA;Matões do Norte;2021;17356
2106672;MA;Milagres do Maranhão;2021;3190
2106706;MA;Mirador;2021;49291
2106755;MA;Miranda do Norte;2021;23613
2106805;MA;Mirinzal;2021;2514
2106904;MA;Monção;2021;48711
2107001;MA;Montes Altos;2021;51964
2107100;MA;Morros;2021;1450
2107209;MA;Nina Rodrigues;2021;2078
2107258;MA;Nova Colinas;2021;41135
2107308;MA;Nova Iorque;2021;10089
2107357;MA;Nova Olinda do Maranhão;2021;36023
2107407;MA;Olho d'Água das Cunhãs;2021;74583
2107456;MA;Olinda Nova do Maranhão;2021;7120
2107506;MA;Paço do Lumiar;2021;602
2107605;MA;Palmeirândia;2021;4935
2107704;MA;Paraibano;2021;24297
2107803;MA;Parnarama;2021;70303
2107902;MA;Passagem Franca;2021;39481
2108009;MA;Pastos Bons;2021;30789
2108058;MA;Paulino Neves;2021;3250
2108108;MA;Paulo Ramos;2021;56849
2108207;MA;Pedreiras;2021;19402
2108256;MA;Pedro do Rosário;2021;22944
2108306;MA;Penalva;2021;13670
2108405;MA;Peri Mirim;2021;3905
2108454;MA;Peritoró;2021;37200
2108504;MA;Pindaré-Mirim;2021;14127
2108603;MA;Pinheiro;2021;32095
2108702;MA;Pio XII;2021;39174
2108801;MA;Pirapemas;2021;13455
2108900;MA;Poção de Pedras;2021;55228
2109007;MA;Porto Franco;2021;97564
2109056;MA;Porto Rico do Maranhão;2021;1185
2109106;MA;Presidente Dutra;2021;72315
2109205;MA;Presidente Juscelino;2021;915
2109239;MA;Presidente Médici;2021;28340
2109270;MA;Presidente Sarney;2021;5361
2109304;MA;Presidente Vargas;2021;1352
2109403;MA;Primeira Cruz;2021;1210
2109452;MA;Raposa;2021;444
2109502;MA;Riachão;2021;123042
2109551;MA;Ribamar Fiquene;2021;62791
2109601;MA;Rosário;2021;1105
2109700;MA;Sambaíba;2021;25727
2109759;MA;Santa Filomena do Maranhão;2021;24018
2109809;MA;Santa Helena;2021;14488
