ano;mes;uf;especie;abatidos
2022;10;AC;BOVINOS;14721
2022;10;AL;BOVINOS;20
2022;10;AM;BOVINOS;2955
2022;10;BA;BOVINOS;28171
2022;10;DF;BOVINOS;143
2022;10;ES;BOVINOS;2047
2022;10;GO;BOVINOS;220532
2022;10;MA;BOVINOS;28390
2022;10;MG;BOVINOS;169919
2022;10;MS;BOVINOS;230344
2022;10;MT;BOVINOS;382063
2022;10;PA;BOVINOS;153841
2022;10;PE;BOVINOS;2687
2022;10;PI;BOVINOS;975
2022;10;PR;BOVINOS;62401
2022;10;RJ;BOVINOS;743
2022;10;RN;BOVINOS;60
2022;10;RO;BOVINOS;164289
2022;10;RS;BOVINOS;77174
2022;10;SC;BOVINOS;7182
2022;10;SP;BOVINOS;209302
2022;10;TO;BOVINOS;75073
2022;11;AC;BOVINOS;15219
2022;11;AL;BOVINOS;20
2022;11;AM;BOVINOS;2834
2022;11;BA;BOVINOS;21427
2022;11;DF;BOVINOS;63
2022;11;ES;BOVINOS;1217
2022;11;GO;BOVINOS;199210
2022;11;MA;BOVINOS;29013
2022;11;MG;BOVINOS;148793
2022;11;MS;BOVINOS;246262
2022;11;MT;BOVINOS;371022
2022;11;PA;BOVINOS;159475
2022;11;PE;BOVINOS;2993
2022;11;PI;BOVINOS;309
2022;11;PR;BOVINOS;61083
2022;11;RJ;BOVINOS;1020
2022;11;RN;BOVINOS;410
2022;11;RO;BOVINOS;164922
2022;11;RS;BOVINOS;71515
2022;11;SC;BOVINOS;6226
2022;11;SP;BOVINOS;178054
2022;11;TO;BOVINOS;70374
2022;12;AC;BOVINOS;20777
2022;12;AM;BOVINOS;3205
2022;12;AP;BOVINOS;120
2022;12;BA;BOVINOS;30961
2022;12;CE;BOVINOS;51
2022;12;DF;BOVINOS;3
2022;12;ES;BOVINOS;3098
2022;12;GO;BOVINOS;197850
2022;12;MA;BOVINOS;28787
2022;12;MG;BOVINOS;139047
2022;12;MS;BOVINOS;295660
2022;12;MT;BOVINOS;402848
2022;12;PA;BOVINOS;173158
2022;12;PE;BOVINOS;2905
2022;12;PI;BOVINOS;726
2022;12;PR;BOVINOS;68985
2022;12;RJ;BOVINOS;2124
2022;12;RO;BOVINOS;197301
2022;12;RS;BOVINOS;69505
2022;12;SC;BOVINOS;6780
2022;12;SP;BOVINOS;201885
2022;12;TO;BOVINOS;80920
2023;1;AC;BOVINOS;18237
2023;1;AL;BOVINOS;20
2023;1;AM;BOVINOS;2726
2023;1;BA;BOVINOS;28802
2023;1;DF;BOVINOS;48
2023;1;ES;BOVINOS;2842
2023;1;GO;BOVINOS;199489
2023;1;MA;BOVINOS;27965
2023;1;MG;BOVINOS;147521
2023;1;MS;BOVINOS;283839
2023;1;MT;BOVINOS;410892
2023;1;PA;BOVINOS;173164
2023;1;PE;BOVINOS;2538
2023;1;PI;BOVINOS;94
2023;1;PR;BOVINOS;53882
2023;1;RJ;BOVINOS;2257
2023;1;RO;BOVINOS;203188
2023;1;RR;BOVINOS;2283
2023;1;RS;BOVINOS;69145
2023;1;SC;BOVINOS;5788
2023;1;SP;BOVINOS;195162
2023;1;TO;BOVINOS;78445
2023;2;AC;BOVINOS;21580
2023;2;AL;BOVINOS;36
2023;2;AM;BOVINOS;3537
2023;2;BA;BOVINOS;27591
2023;2;DF;BOVINOS;117
2023;2;ES;BOVINOS;2805
2023;2;GO;BOVINOS;188490
2023;2;MA;BOVINOS;25269
2023;2;MG;BOVINOS;135263
2023;2;MS;BOVINOS;233284
2023;2;MT;BOVINOS;371794
2023;2;PA;BOVINOS;169674
2023;2;PB;BOVINOS;40
2023;2;PE;BOVINOS;2495
2023;2;PI;BOVINOS;961
2023;2;PR;BOVINOS;52477
2023;2;RJ;BOVINOS;2330
2023;2;RO;BOVINOS;205192
2023;2;RR;BOVINOS;1877
2023;2;RS;BOVINOS;55334
2023;2;SC;BOVINOS;5696
2023;2;SP;BOVINOS;166602
2023;2;TO;BOVINOS;85721
2023;3;AC;BOVINOS;24256
2023;3;AL;BOVINOS;20
2023;3;AM;BOVINOS;3469
2023;3;BA;BOVINOS;30226
2023;3;DF;BOVINOS;59
2023;3;ES;BOVINOS;4747
2023;3;GO;BOVINOS;215202
2023;3;MA;BOVINOS;29867
2023;3;MG;BOVINOS;143182
2023;3;MS;BOVINOS;239250
2023;3;MT;BOVINOS;410237
2023;3;PA;BOVINOS;177332
2023;3;PE;BOVINOS;3023
2023;3;PI;BOVINOS;176
2023;3;PR;BOVINOS;56779
2023;3;RJ;BOVINOS;3262
2023;3;RO;BOVINOS;208075
2023;3;RR;BOVINOS;1578
2023;3;RS;BOVINOS;43083
2023;3;SC;BOVINOS;6439
2023;3;SP;BOVINOS;139351
2023;3;TO;BOVINOS;94081
2023;4;AC;BOVINOS;22862
2023;4;AL;BOVINOS;35
2023;4;AM;BOVINOS;2864
2023;4;BA;BOVINOS;25842
2023;4;DF;BOVINOS;52
2023;4;ES;BOVINOS;8565
2023;4;GO;BOVINOS;229398
2023;4;MA;BOVINOS;26154
